,Year,Exchange_Rate
65,1960,2.48447000148447
64,1961,2.48447000148447
63,1962,2.48447000148447
62,1963,2.48447000127743
61,1964,2.5000000015
60,1965,2.5000000015
59,1966,2.5000000015
58,1967,2.5000000015
57,1968,2.5000000015
56,1969,2.5000000015
55,1970,2.5000000015
54,1971,2.49347500129167
53,1972,2.299999999
52,1973,2.098749999
51,1974,2.069999999
50,1975,2.069999999
49,1976,2.069999999
48,1977,2.069999999
47,1978,2.069999999
46,1979,2.069999999
45,1980,2.069999999
44,1981,2.069999999
43,1982,2.069999999
42,1983,2.069999999
41,1984,2.06999999958333
40,1985,2.07
39,1986,2.07
38,1987,2.07
37,1988,2.07
36,1989,2.07
35,1990,2.07
34,1991,2.07
33,1992,2.8025
32,1993,5.0
31,1994,5.465
30,1995,6.15833333333333
29,1996,6.351675
28,1997,6.70934166666667
27,1998,7.11590833333334
26,1999,7.94225
25,2000,8.21725833333333
24,2001,8.45749166666667
23,2002,8.56775
22,2003,8.59968333333333
21,2004,8.63558333333333
20,2005,8.66644166666667
19,2006,8.69861583333333
18,2007,8.96595
17,2008,9.59974166666667
16,2009,11.7775996725
15,2010,14.4095898080066
14,2011,16.8992257595275
13,2012,17.7047613782674
12,2013,18.6266289575478
11,2014,19.585789907695
10,2015,20.57684875
9,2016,21.7315472222222
8,2017,23.8661044574125
7,2018,27.4293865941667
6,2019,29.06975
5,2020,34.9271654040404
4,2021,43.73377831884
3,2022,51.7562150334169
2,2023,54.6009480676569
1,2024,82.6013363504764
